ID,Nuser ID,Source Text,Target Text,Source Context,Target Context,Source Lang,Target Lang,Last Edit,Creation Date,Removed,Target Text Edited,Document Title,Document,Source Segment,Source,Comment,Domain,History ID,Wordcount,Favtype,Source Pos,Target Pos,Register,Language Level
126751971,"11,744,472",inflammation,body's response to injury with redness and swelling,The inflammation caused her ankle to swell.,,en,en,"August 19, 2026, 9:50 AM","August 19, 2026, 9:50 AM",false,,,,,1,,,,1,def,n.,,,
126660513,"11,744,472",shorthand,rapid writing method using symbols for words,She learned shorthand to take notes quickly.,,en,en,"August 18, 2026, 4:08 PM","August 18, 2026, 4:08 PM",false,,,,,4,,,,1,def,n.,,,
126649746,"11,744,472",novelty,the quality of being new and interesting,The novelty of the idea excited everyone.,,en,en,"August 18, 2026, 2:22 PM","August 18, 2026, 2:22 PM",false,,,,,4,,,,1,def,n.,,,
126643874,"11,744,472",recollection,something remembered or called to mind,I have a fond recollection of our trip.,,en,en,"August 18, 2026, 1:31 PM","August 18, 2026, 1:31 PM",false,,,,,4,,,,1,def,n.,,,
126444474,"11,744,472",scrunch,crumple or squeeze something so it changes shape,She scrunches the paper into a ball.,,en,en,"August 16, 2026, 11:56 PM","August 16, 2026, 11:56 PM",false,,,,,1,,,,1,def,v.,,,
126255982,"11,744,472",climax,most intense point in a story or event,The climax of the movie was breathtaking.,,en,en,"August 15, 2026, 2:06 PM","August 15, 2026, 1:26 PM",false,,,,,1,,,,1,def,n.,,,
126256935,"11,744,472",tame,make an animal less wild or easier to control,They tried to tame the wild horse.,,en,en,"August 15, 2026, 2:06 PM","August 15, 2026, 1:38 PM",false,,,,,1,,,,1,def,v.,,,
126256932,"11,744,472",tame,make something less intense or severe,He tamed his anger before speaking.,,en,en,"August 15, 2026, 1:38 PM","August 15, 2026, 1:38 PM",true,,,,,1,,,,1,def,v.,,,
126252271,"11,744,472",deprecate,express disapproval or criticism of something,She deprecated his decision to drop out of school.,,en,en,"August 15, 2026, 12:54 PM","August 15, 2026, 12:54 PM",false,,,,,4,,,,1,def,v.,,,
126252270,"11,744,472",deprecate,declare something outdated but still functional,The software was deprecated in the latest update.,,en,en,"August 15, 2026, 12:54 PM","August 15, 2026, 12:54 PM",false,,,,,4,,,,1,def,v.,,,
126188864,"11,744,472",pedigree,ancestry or lineage of a person,"She took pride in her noble pedigree, filled with historical figures.",,en,en,"August 14, 2026, 9:10 PM","August 14, 2026, 9:10 PM",false,,,,,1,,,,1,def,n.,,,
126083429,"11,744,472",blunt,straightforward or direct in speech,Her blunt reply ended the argument quickly.,,en,en,"August 14, 2026, 12:14 AM","August 14, 2026, 12:14 AM",false,,,,,4,,,,1,def,adj.,,,
126064816,"11,744,472",sensible,showing good judgment or practical ideas,It's sensible to save money for emergencies.,,en,en,"August 13, 2026, 9:22 PM","August 13, 2026, 9:22 PM",false,,,,,4,,,,1,def,adj.,,,
126028304,"11,744,472",hinder,make it hard or slow for something to happen,Heavy traffic can hinder your arrival.,,en,en,"August 13, 2026, 3:34 PM","August 13, 2026, 3:34 PM",false,,,,,4,,,,1,def,v.,,,
125867104,"11,744,472",nimble,quick and light in movement,The dancer was nimble on her feet.,,en,en,"August 12, 2026, 1:03 PM","August 12, 2026, 1:03 PM",false,,,,,1,,,,1,def,adj.,,,
125849834,"11,744,472",discretion,quality of being discreet or careful about what one says or does,He advised her to use discretion in discussing the confidential information.,,en,en,"August 12, 2026, 10:36 AM","August 12, 2026, 10:36 AM",false,,,,,1,,,,1,def,n.,,,
125849087,"11,744,472",despair,complete loss of hope or confidence,She was in despair after losing her job.,,en,en,"August 12, 2026, 10:22 AM","August 12, 2026, 10:22 AM",false,,,,,1,,,,1,def,n.,,,
125849016,"11,744,472",intimation,indirect suggestion or hint about something,She gave an intimation of her plans.,,en,en,"August 12, 2026, 10:22 AM","August 12, 2026, 10:22 AM",false,,,,,1,,,,1,def,n.,,,
125848532,"11,744,472",penance,voluntary self-punishment to show regret for wrongdoing,He did penance by fasting for a week.,,en,en,"August 12, 2026, 10:15 AM","August 12, 2026, 10:15 AM",false,,,,,1,,,,1,def,n.,,,
125765862,"11,744,472",cloture,parliamentary rule that ends or limits debate before voting,The senator called for cloture to end the long debate.,,en,en,"August 11, 2026, 9:51 PM","August 11, 2026, 6:04 PM",false,,,,,1,,,,1,def,n.,,,
125770601,"11,744,472",strain,pull or stretch tightly,He strained his eyes trying to read the small print.,,en,en,"August 11, 2026, 9:51 PM","August 11, 2026, 6:47 PM",false,,,,,1,,,,1,def,v.,,,
125770603,"11,744,472",strain,separate liquid from solid using a filter,Strain the pasta before serving.,,en,en,"August 11, 2026, 9:51 PM","August 11, 2026, 6:47 PM",false,,,,,1,,,,1,def,v.,,,
125746801,"11,744,472",lavalier,small microphone clipped to clothing,The presenter used a lavalier for the interview.,,en,en,"August 11, 2026, 3:32 PM","August 11, 2026, 3:32 PM",false,,,,,4,,,,1,def,n.,,,
125722584,"11,744,472",aisle,passage between rows of seats in a building or vehicle,He walked down the aisle to find his seat at the cinema.,,en,en,"August 11, 2026, 12:06 PM","August 11, 2026, 12:06 PM",false,,,,,1,,,,1,def,n.,,,
125721177,"11,744,472",overcome,succeed in dealing with a problem or difficulty,She overcame her fear of heights by skydiving.,,en,en,"August 11, 2026, 12:01 PM","August 11, 2026, 12:01 PM",false,,,,,1,,,,1,def,v.,,,
125721166,"11,744,472",standoff,situation where no progress can be made,"The negotiation ended in a standoff, with neither side willing to compromise.",,en,en,"August 11, 2026, 12:01 PM","August 11, 2026, 12:01 PM",false,,,,,1,,,,1,def,n.,,,
125721116,"11,744,472",filibuster,legislator who delays decisions with speeches,He was known as a filibuster in the Senate.,,en,en,"August 11, 2026, 12:00 PM","August 11, 2026, 12:00 PM",false,,,,,1,,,,1,def,n.,,,
125374071,"11,744,472",amplify,make a sound louder using equipment,The speakers amplify the music at the concert.,,en,en,"August 8, 2026, 7:03 PM","August 8, 2026, 7:03 PM",false,,,,,1,,,,1,def,v.,,,
125374068,"11,744,472",amplify,make a statement or idea clearer by adding details,She asked him to amplify his answer with more details.,,en,en,"August 8, 2026, 7:03 PM","August 8, 2026, 7:03 PM",false,,,,,1,,,,1,def,v.,,,
124970725,"11,744,472",diminish,"become less, or cause this to happen",The medicine diminished his pain.,,en,en,"August 5, 2026, 5:08 PM","August 5, 2026, 5:08 PM",false,,,,,1,,,,1,def,v.,,,
124827121,"11,744,472",aspire,have a strong desire to achieve something,She aspires to become a doctor.,,en,en,"August 4, 2026, 7:15 PM","August 4, 2026, 7:15 PM",false,,,,,4,,,,1,def,v.,,,
124827114,"11,744,472",aspirational,expressing hope without legal obligation,The aspirational clause was included in the contract.,,en,en,"August 4, 2026, 7:14 PM","August 4, 2026, 7:14 PM",false,,,,,4,,,,1,def,adj.,,,
124827090,"11,744,472",conformance,state of aligning with rules or standards,Conformance to safety regulations is mandatory.,,en,en,"August 4, 2026, 7:14 PM","August 4, 2026, 7:14 PM",false,,,,,4,,,,1,def,n.,,,
124825232,"11,744,472",terse,brief and concise in speech or writing,Her terse reply left no room for questions.,,en,en,"August 4, 2026, 7:02 PM","August 4, 2026, 7:02 PM",false,,,,,4,,,,1,def,adj.,,,
124713337,"11,744,472",outline,explain an idea in a general way,The teacher outlined the project to the class.,,en,en,"August 3, 2026, 11:42 PM","August 3, 2026, 11:42 PM",false,,,,,4,,,,1,def,v.,,,
124684427,"11,744,472",fallback,alternative plan if others fail,They used their fallback when the original strategy didn't work.,,en,en,"August 3, 2026, 8:30 PM","August 3, 2026, 8:30 PM",false,,,,,1,,,,1,def,n.,,,
124558722,"11,744,472",proprietary,protected by trademark or patent,The proprietary technology is patented and cannot be copied.,,en,en,"August 2, 2026, 9:43 PM","August 2, 2026, 9:43 PM",false,,,,,1,,,,1,def,adj.,,,
124527776,"11,744,472",parenthesis,one of the round brackets used to mark off text,She used parentheses to add a personal comment in the text.,,en,en,"August 2, 2026, 5:10 PM","August 2, 2026, 5:10 PM",false,,,,,4,,,,1,def,n.,,,
124457333,"11,744,472",stifle,prevent something from developing,The new policy stifles innovation.,,en,en,"August 2, 2026, 11:59 AM","August 2, 2026, 1:22 AM",false,,,,,1,,,,1,def,v.,,,
124458890,"11,744,472",imbue,inspire or permeate with a feeling or quality,His speech imbued us with courage.,,en,en,"August 2, 2026, 11:59 AM","August 2, 2026, 1:39 AM",false,,,,,1,,,,1,def,v.,,,
124455390,"11,744,472",inclination,tendency or preference,She has an inclination for classical music.,,en,en,"August 2, 2026, 11:59 AM","August 2, 2026, 12:28 AM",false,,,,,1,,,,1,def,n.,,,
124457323,"11,744,472",stifle,hold back or repress emotions,He stifled his anger to stay calm.,,en,en,"August 2, 2026, 1:21 AM","August 2, 2026, 1:21 AM",true,,,,,1,,,,1,def,v.,,,
124442235,"11,744,472",assert,state a fact or belief confidently,She asserted her innocence in front of the jury.,,en,en,"August 1, 2026, 9:46 PM","August 1, 2026, 9:46 PM",false,,,,,4,,,,1,def,v.,,,
124411469,"11,744,472",stray,having wandered away from home or place,The shelter took in a stray dog.,,en,en,"August 1, 2026, 4:34 PM","August 1, 2026, 4:34 PM",false,,,,,4,,,,1,def,adj.,,,
124309387,"11,744,472",minutiae,"small, precise, or trifling details",She focused on the minutiae of the project.,,en,en,"July 31, 2026, 6:21 PM","July 31, 2026, 6:21 PM",false,,,,,4,,,,1,def,n.,,,
124309370,"11,744,472",hygiene,habits and surroundings that support well-being and reduce illness,Good hygiene helps stop germs from spreading at school.,,en,en,"July 31, 2026, 6:20 PM","July 31, 2026, 6:20 PM",false,,,,,4,,,,1,def,n.,,,
124309353,"11,744,472",alter,make changes to something,She decided to alter her hairstyle for the event.,,en,en,"July 31, 2026, 6:20 PM","July 31, 2026, 6:20 PM",false,,,,,4,,,,1,def,v.,,,
124309228,"11,744,472",dutifully,in a manner showing a sense of duty,She dutifully completed her homework every night.,,en,en,"July 31, 2026, 6:16 PM","July 31, 2026, 6:16 PM",false,,,,,4,,,,1,def,adv.,,,
124303664,"11,744,472",prune,cut out unnecessary parts from something,He pruned the essay to make it more concise.,,en,en,"July 31, 2026, 5:37 PM","July 31, 2026, 5:37 PM",false,,,,,4,,,,1,def,v.,,,
124303637,"11,744,472",cruft,anything old or of inferior quality,His garage is full of cruft from the 90s.,,en,en,"July 31, 2026, 5:36 PM","July 31, 2026, 5:36 PM",false,,,,,4,,,,1,def,n.,,,
124303587,"11,744,472",contingent,"true under certain conditions, false under others",The statement is contingent in this context.,,en,en,"July 31, 2026, 5:35 PM","July 31, 2026, 5:35 PM",false,,,,,4,,,,1,def,adj.,,,
124078075,"11,744,472",dovetail,fit things together harmoniously,Their ideas dovetail perfectly with ours.,,en,en,"July 29, 2026, 10:56 PM","July 29, 2026, 10:56 PM",false,,,,,4,,,,1,def,v.,,,
123936435,"11,744,472",implore,ask someone earnestly or desperately to do something,She implored him to stay with her.,,en,en,"July 29, 2026, 7:27 PM","July 29, 2026, 12:13 AM",false,,,,,1,,,,1,def,v.,,,
123920399,"11,744,472",deliverable,the final product to be delivered to a client,The project deliverable was completed on time.,,en,en,"July 28, 2026, 10:05 PM","July 28, 2026, 10:05 PM",false,,,,,4,,,,1,def,n.,,,
123858968,"11,744,472",excerpt,short part taken from a larger work,The teacher read an excerpt from the novel.,,en,en,"July 28, 2026, 3:20 PM","July 28, 2026, 3:20 PM",false,,,,,4,"RU: отрывок, выдержка",,,1,def,n.,,,
123853745,"11,744,472",upward,in a direction from lower to higher,He looked upward towards the sky.,,en,en,"July 28, 2026, 2:34 PM","July 28, 2026, 2:34 PM",false,,,,,4,,,,1,def,adv.,,,
123827960,"11,744,472",revamp,"give new and improved form, structure, or appearance to",They decided to revamp the old restaurant to attract more customers.,,en,en,"July 28, 2026, 11:47 AM","July 28, 2026, 11:47 AM",false,,,,,1,,,,1,def,v.,,,
123762606,"11,744,472",unfavourable,causing problems or reducing success chances,The team faced unfavourable conditions during the match.,,en,en,"July 28, 2026, 12:58 AM","July 27, 2026, 9:51 PM",false,,,,,1,,,,1,def,adj.,,,
123769423,"11,744,472",lucrative,producing a large profit or financial gain,She found a lucrative job in the tech industry.,,en,en,"July 28, 2026, 12:58 AM","July 27, 2026, 10:51 PM",false,,,,,1,,,,1,def,adj.,,,
123769961,"11,744,472",syllable,unit of speech with a vowel sound,The word 'banana' has three syllables.,,en,en,"July 28, 2026, 12:58 AM","July 27, 2026, 10:59 PM",false,,,,,1,,,,1,def,n.,,,
123767392,"11,744,472",exploit,use a situation or person in an unfair or selfish way,He was known to exploit his workers to maximize productivity.,,en,en,"July 27, 2026, 10:30 PM","July 27, 2026, 10:30 PM",false,,,,,4,,,,1,def,v.,,,
123693744,"11,744,472",supposition,belief accepted as true without full evidence,Her theory was based on mere supposition.,,en,en,"July 27, 2026, 1:46 PM","July 27, 2026, 1:46 PM",false,,,,,4,,,,1,def,n.,,,
123693705,"11,744,472",shim,spacer inserted to fill a gap between parts,A shim was placed between the door frame to ensure a tight fit.,,en,en,"July 27, 2026, 1:44 PM","July 27, 2026, 1:44 PM",false,,,,,4,,,,1,def,n.,,,
123524546,"11,744,472",commence,initiate formally,The university will commence the new academic year with an orientation.,,en,en,"July 27, 2026, 12:27 PM","July 26, 2026, 11:11 AM",false,,,,,1,,,,1,def,v.,,,
123614272,"11,744,472",fluctuate,be uncertain or indecisive,Her mood tends to fluctuate.,,en,en,"July 26, 2026, 10:52 PM","July 26, 2026, 10:52 PM",false,,,,,4,,,,1,def,v.,,,
123614268,"11,744,472",fluctuate,change irregularly in amount or level,The stock prices fluctuate daily.,,en,en,"July 26, 2026, 10:52 PM","July 26, 2026, 10:52 PM",true,,,,,4,,,,1,def,v.,,,
123010868,"11,744,472",privy,knowing something secret or not known by most people,She was privy to the confidential plans.,,en,en,"July 26, 2026, 3:41 PM","July 22, 2026, 6:10 PM",false,,,,,1,,,,1,def,adj.,,,
117997142,"11,744,472",feast,"eat large amounts of food, usually in celebration",They feasted on turkey and pies during Thanksgiving.,,en,en,"July 26, 2026, 3:41 PM","June 17, 2026, 7:03 PM",false,,,,,1,,,,1,def,v.,,,
123111602,"11,744,472",swarm,large group of insects moving together,A swarm of bees flew over the field.,,en,en,"July 26, 2026, 3:41 PM","July 23, 2026, 11:44 AM",false,,,,,1,,,,1,def,n.,,,
123111628,"11,744,472",eradicate,remove or destroy something so nothing remains,We must eradicate the disease from the country.,,en,en,"July 26, 2026, 3:41 PM","July 23, 2026, 11:44 AM",false,,,,,1,,,,1,def,v.,,,
123111645,"11,744,472",foothold,secure position for further progress,The company gained a foothold in the new market.,,en,en,"July 26, 2026, 3:41 PM","July 23, 2026, 11:45 AM",false,,,,,1,,,,1,def,n.,,,
123115876,"11,744,472",ramble,talk or write at length without clear direction,He tends to ramble during his presentations.,,en,en,"July 26, 2026, 3:41 PM","July 23, 2026, 12:13 PM",false,,,,,1,,,,1,def,v.,,,
122316635,"11,744,472",invigorate,impart energy or strength to someone or something,The morning jog invigorates her for the day.,,en,en,"July 26, 2026, 3:41 PM","July 17, 2026, 11:45 PM",false,,,,,1,,,,1,def,v.,,,
116940587,"11,744,472",chunk,significant amount or part of something,She completed a chunk of the project over the weekend.,,en,en,"July 26, 2026, 3:41 PM","June 9, 2026, 11:43 PM",false,,,,,1,,,,1,def,n.,,,
122324944,"11,744,472",adjourn,suspend a meeting to resume later,The chairperson decided to adjourn the meeting until next week.,,en,en,"July 26, 2026, 3:41 PM","July 18, 2026, 1:22 AM",false,,,,,1,,,,1,def,v.,,,
122362756,"11,744,472",grift,dishonest plan or action to get money from others,He was caught in a grift and arrested.,,en,en,"July 26, 2026, 3:41 PM","July 18, 2026, 11:00 AM",false,,,,,1,,,,1,def,n.,,,
122364249,"11,744,472",indulgent,willingly allows desires or is overly kind or lenient,She is indulgent with her children.,,en,en,"July 26, 2026, 3:41 PM","July 18, 2026, 11:15 AM",false,,,,,1,,,,1,def,adj.,,,
117228283,"11,744,472",affliction,state of pain or distress,He endured years of affliction after the accident.,,en,en,"July 26, 2026, 3:41 PM","June 12, 2026, 12:48 AM",false,,,,,1,,,,1,def,n.,,,
117228291,"11,744,472",buildup,gradual increase in quantity or intensity,The buildup of traffic was frustrating.,,en,en,"July 26, 2026, 3:41 PM","June 12, 2026, 12:48 AM",false,,,,,1,,,,1,def,n.,,,
123550559,"11,744,472",decision,the act of making a choice or judgment,Her decision to study abroad was life-changing.,,en,en,"July 26, 2026, 3:05 PM","July 26, 2026, 3:05 PM",true,,ChatGPT,,,4,,,,1,def,n.,,,
123189117,"11,744,472",supersede,displace in favor of something better,The new policy superseded the previous guidelines.,,en,en,"July 23, 2026, 8:58 PM","July 23, 2026, 8:58 PM",false,,,,,4,,,,1,def,v.,,,
119264883,"11,744,472",decoy,person or thing used to lure into danger,The spy used a decoy to mislead the enemy.,,en,en,"July 23, 2026, 11:48 AM","June 27, 2026, 1:14 AM",false,,,,,1,,,,1,def,n.,,,
122828160,"11,744,472",break-even,point where total costs and income are the same,The company finally reached break-even this year.,,en,en,"July 21, 2026, 3:31 PM","July 21, 2026, 3:31 PM",false,,,,,4,,,,1,def,n.,,,
122828155,"11,744,472",break even,"recover costs through revenue, no profit or loss","After a year in business, they finally managed to break even.",,en,en,"July 21, 2026, 3:31 PM","July 21, 2026, 3:31 PM",false,,,,,4,,,,2,def,v.,,,
119348220,"11,744,472",bestow,give something as a gift or honor,The king will bestow knighthood upon the brave soldier.,,en,en,"July 21, 2026, 12:27 PM","June 27, 2026, 6:46 PM",false,,,,,1,,,,1,def,v.,,,
122745788,"11,744,472",wallow,roll around or lie in mud or water,The pigs love to wallow in the muddy pond.,,en,en,"July 21, 2026, 12:27 PM","July 21, 2026, 12:42 AM",false,,,,,1,,,,1,def,v.,,,
122677561,"11,744,472",sift,put through a sieve to reduce to finer particles,She sifted the flour before mixing it into the batter.,,en,en,"July 20, 2026, 4:17 PM","July 20, 2026, 4:17 PM",false,,,,,4,,,,1,def,v.,,,
122499606,"11,744,472",clamp,fasten pieces tightly using a screw-actuated or C-shaped tool,He clamped the boards together for gluing.,,en,en,"July 19, 2026, 11:38 AM","July 19, 2026, 11:38 AM",false,,,,,1,,,,1,def,v.,,,
122435393,"11,744,472",shatter,break into many pieces suddenly,The glass vase shattered when it hit the floor.,,en,en,"July 18, 2026, 9:07 PM","July 18, 2026, 9:07 PM",false,,,,,1,,,,1,def,v.,,,
121124880,"11,744,472",lore,backstory created around a fictional universe,The game's lore includes detailed histories of its characters.,,en,en,"July 18, 2026, 11:29 AM","July 10, 2026, 12:52 PM",false,,,,,1,,,,1,def,n.,,,
121191518,"11,744,472",converge on,focus attention or effort on one thing,Scientists converge on a solution to the problem.,,en,en,"July 18, 2026, 11:29 AM","July 10, 2026, 4:48 PM",false,,,,,1,,,,2,def,v.,,,
121333095,"11,744,472",strain,feeling of stress or tension,The job's demands put a strain on her health.,,en,en,"July 18, 2026, 11:29 AM","July 11, 2026, 4:12 PM",false,,,,,1,,,,1,def,n.,,,
121521280,"11,744,472",meter,measure something using a metering device,The technician will meter the water usage.,,en,en,"July 18, 2026, 11:29 AM","July 12, 2026, 9:56 PM",false,,,,,1,,,,1,def,v.,,,
121114265,"11,744,472",elaborate,add more details to an idea or plan,She elaborated her plan to include more details.,,en,en,"July 18, 2026, 11:29 AM","July 10, 2026, 11:08 AM",false,,,,,1,,,,1,def,v.,,,
121540473,"11,744,472",torment,cause severe suffering or distress to someone,The loud noise tormented him all night.,,en,en,"July 13, 2026, 9:07 AM","July 13, 2026, 12:23 AM",false,,,,,1,,,,1,def,v.,,,
121248506,"11,744,472",mutilate,destroy or alter something drastically,The editor mutilated the original manuscript.,,en,en,"July 11, 2026, 12:35 PM","July 11, 2026, 12:52 AM",false,,,,,1,,,,1,def,v.,,,
121046690,"11,744,472",conventional,based on or in accordance with what is generally done or believed,Their wedding was very conventional in style.,,en,en,"July 10, 2026, 1:07 AM","July 9, 2026, 8:21 PM",false,,,,,1,,,,1,def,adj.,,,
121058432,"11,744,472",throughput,amount processed by a computer over time,The computer's throughput was tested during peak hours.,,en,en,"July 10, 2026, 1:07 AM","July 9, 2026, 10:18 PM",false,,,,,1,,,,1,def,n.,,,
120962130,"11,744,472",impairment,state of being damaged or worsened,The accident caused a severe impairment in his mobility.,,en,en,"July 9, 2026, 10:23 AM","July 9, 2026, 10:23 AM",false,,,,,1,,,,1,def,n.,,,
