"Period","Annual Android subscription February 2022","Annual Android subscription February 2025 -7d trial","Annual Android subscription January 2016","Annual Android subscription July 2023","Annual Android subscription June 2017","Annual Android subscription March 2015","Annual Android subscription March 2024","Annual Android subscription May 2022","Annual Android subscription November 2017","Annual Android subscription October 2019","Annual Android subscription September 2017","Monthly Android subscription February 2024","Monthly Android subscription February 2025 -0d trial -price","Monthly Android subscription February 2025 -7d trial","Monthly Android subscription February 2025 -7d trial -price","Monthly Android subscription January 2019 2.99$","Monthly Android subscription January 2019 3.99$ ","Monthly Android subscription July 2023","Monthly Android subscription June 2019","Quarterly Android subscription December 2017"
"2026-06-08","175.17","402.94","33.34","","40.55","10.19","2179.5","413.64","35.12","1749.13","","2446.74","","366.05","603.44","81.57","1809.03","879.9","10.98","125.14"
"2026-06-15","130.91","483.93","49.31","","29.18","7.2","2185.51","308.4","217.47","288.24","","2309.76","","358.9","577.98","57.45","1664.97","801.76","22.59","102.59"
"2026-06-22","92.67","130.78","36.55","","53.43","6.79","2678.06","228.45","169.86","556.13","","2941.67","4.48","490.36","667.44","105.51","2262.67","1090.35","48.45","38.09"
"2026-06-29","67.41","398.65","27.87","","52.45","2.99","2647.45","564.18","161.26","375.12","","1656.3","3.49","273.05","591.59","51.6","1270.13","531.24","15.32","74.18"
"2026-07-06","27.99","279.96","24.2","","33.67","3.42","2381.67","641.17","207.45","297.26","","2369.17","","308.66","593.34","71.19","1784.44","860.75","8.58","84.81"
"2026-07-13","34.31","310.24","28.49","","38.83","6.85","2597.26","773.74","147.13","342.69","","2242.22","","353.45","633.77","60.64","1610.52","744.03","19.83","57.94"
"2026-07-20","28.05","361.19","40.12","","62.39","2.47","3005.75","554.73","148.93","9098.7","","2141.17","","343.32","585.33","83.97","1606.07","835.27","18.67","65.7"
"2026-07-27","34.1","276.79","11.45","","68.94","2.99","2085.46","602.84","308.35","2096.56","","1909.3","7.99","286.72","626.63","74.5","1615.38","701.96","40.54","63.95"
"2026-08-03","34.67","239.64","33.77","","44.27","3.45","2071.23","541.82","121.83","1504.36","","2141.42","","274.21","561.88","60.94","1693.05","739.66","18.94","32.77"
"2026-08-10","","","6.6","","8.66","","218.45","171.03","18.55","359.52","","321.14","","39.35","85.38","","268.81","147.23","","8.65"
